Trace Name,Result Code,Fixpoint (ms),Termination (ms),Nontermination (ms),pasttel (ms),PaSTTeL Status,Stem Size,Loop Size,Total Size Trace,Algo
ATVA2026_benchmark/TERM_LASSO//lasso_traces_CallIrregular.bpl/lasso_trace_3.txt,TERMINATING,0.48,84.88,74.97,10.00,TERMINATING,1,4,5,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_CallIrregular.bpl/lasso_trace_4.txt,TERMINATING,0.28,81.97,51.12,7.00,TERMINATING,1,4,5,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_CallIrregular.bpl/lasso_trace_5.txt,TERMINATING,0.57,31.48,49.82,8.00,TERMINATING,2,6,8,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_CallIrregular.bpl/lasso_trace_6.txt,TERMINATING,0.34,62.00,40.70,7.00,TERMINATING,3,2,5,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_CallIrregular.bpl/lasso_trace_7.txt,TERMINATING,0.44,68.37,70.96,8.00,TERMINATING,8,6,14,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_CallIrregular.bpl/lasso_trace_8.txt,TERMINATING,0.35,42.35,41.02,11.00,TERMINATING,7,2,9,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_CallIrregular_incorrect.bpl/lasso_trace_1.txt,TERMINATING,1.75,74.76,99.63,6.00,TERMINATING,0,4,4,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_CallIrregular_incorrect.bpl/lasso_trace_2.txt,TERMINATING,0.66,28.63,59.18,5.00,TERMINATING,0,2,2,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_CallIrregular_incorrect.bpl/lasso_trace_3.txt,TERMINATING,0.49,85.98,72.83,10.00,TERMINATING,1,4,5,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_CallIrregular_incorrect.bpl/lasso_trace_4.txt,TERMINATING,0.36,78.82,53.65,6.00,TERMINATING,1,4,5,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_CallIrregular_incorrect.bpl/lasso_trace_5.txt,TERMINATING,0.32,34.10,56.24,11.00,TERMINATING,2,6,8,Affine Template / Affine Template
