nodes	Ultimate-fixpoint	Ultimate-all	pasttel	label	Stem Size	Loop Size	Total Size Trace	Algo
133	0.4	135.72	12	TERMINATING	18	8	26	Affine Template / Affine Template
134	0.45	140.07	27	TERMINATING	21	4	25	Affine Template / Affine Template
135	2	113.68	21	TERMINATING	9	4	13	Affine Template / Affine Template
136	0.37	73.34	14	TERMINATING	13	8	21	Affine Template / Affine Template
137	0.4	67.05	32	TERMINATING	15	4	19	Affine Template / Affine Template
138	2.28	121.02	23	TERMINATING	9	4	13	Affine Template / Affine Template
139	0.39	76.35	14	TERMINATING	13	8	21	Affine Template / Affine Template
140	0.45	73.09	33	TERMINATING	15	4	19	Affine Template / Affine Template
141	1.68	31.72	4	TERMINATING	0	4	4	Affine Template / Affine Template
142	1.64	123	7	TERMINATING	0	4	4	Affine Template / Affine Template
143	0.33	74.71	10	TERMINATING	104	4	108	Affine Template / Affine Template
144	0.9	63.2	5	TERMINATING	6	4	10	Affine Template / Affine Template
145	0.75	84.6	7	TERMINATING	4	4	8	Affine Template / Affine Template
146	0.49	114.68	9	TERMINATING	6	4	10	Affine Template / Affine Template
147	2.48	95.43	12	TERMINATING	8	4	12	Affine Template / Affine Template
148	0.6	68.93	31	TERMINATING	9	4	13	Affine Template / Affine Template
149	0.47	162	31	TERMINATING	14	4	18	Affine Template / Affine Template
150	1.71	45.75	3	TERMINATING	5	2	7	Affine Template / Affine Template
151	2.13	66.23	6	TERMINATING	7	1	8	Affine Template / Affine Template
152	2.35	69.21	6	TERMINATING	7	1	8	Affine Template / Affine Template
153	2.03	64.47	5	TERMINATING	7	1	8	Affine Template / Affine Template
154	2.07	71.89	6	TERMINATING	7	1	8	Affine Template / Affine Template
155	1.84	49.34	5	TERMINATING	5	2	7	Affine Template / Affine Template
156	2.29	25.08	5	TERMINATING	0	3	3	Affine Template / Affine Template
157	0.51	43.76	5	TERMINATING	2	3	5	Affine Template / Affine Template
158	2.31	26.63	4	TERMINATING	0	3	3	Affine Template / Affine Template
159	0.51	65.9	6	TERMINATING	2	3	5	Affine Template / Affine Template
160	2	34.29	4	TERMINATING	0	3	3	Affine Template / Affine Template
161	0.84	59.38	5	TERMINATING	2	3	5	Affine Template / Affine Template
162	4.75	72.99	9	TERMINATING	8	4	12	Affine Template / Affine Template
163	3.27	58.78	7	TERMINATING	8	4	12	Affine Template / Affine Template
164	2.25	68.01	10	TERMINATING	1	2	3	Affine Template / Affine Template
165	1.83	67.26	4	TERMINATING	5	6	11	Affine Template / Affine Template
166	1.94	66.11	7	TERMINATING	2	2	4	Affine Template / Affine Template
167	1.78	124.94	13	TERMINATING	5	1	6	Affine Template / Affine Template
168	2.46	133.28	13	TERMINATING	5	1	6	Affine Template / Affine Template
169	1.92	134.82	14	TERMINATING	5	1	6	Affine Template / Affine Template
170	2.05	2170.02	37	TERMINATING	5	1	6	2-Phase Template / 2-Nested Template
171	2.4	2298.94	36	TERMINATING	5	1	6	2-Phase Template / 2-Nested Template
172	2.06	2326.5	39	TERMINATING	5	1	6	2-Phase Template / 2-Nested Template
173	2.19	103.25	8	TERMINATING	5	2	7	Affine Template / Affine Template
174	0.53	116.58	16	TERMINATING	8	1	9	Affine Template / Affine Template
175	0.37	111.11	18	TERMINATING	10	1	11	Affine Template / Affine Template
176	0.59	81.51	18	TERMINATING	11	1	12	Affine Template / Affine Template
177	2.2	117.25	8	TERMINATING	5	2	7	Affine Template / Affine Template
178	0.87	124.48	16	TERMINATING	8	1	9	Affine Template / Affine Template
179	0.47	121.65	16	TERMINATING	10	1	11	Affine Template / Affine Template
180	0.44	78.68	17	TERMINATING	11	1	12	Affine Template / Affine Template
181	2.81	107.68	7	TERMINATING	5	2	7	Affine Template / Affine Template
182	0.74	125.95	17	TERMINATING	8	1	9	Affine Template / Affine Template
183	0.46	106.68	18	TERMINATING	10	1	11	Affine Template / Affine Template
184	0.66	73.44	18	TERMINATING	11	1	12	Affine Template / Affine Template
185	2.63	54.25	7	TERMINATING	5	6	11	Affine Template / Affine Template
186	0.78	122.49	8	TERMINATING	6	2	8	Affine Template / Affine Template
187	0.41	93.83	8	TERMINATING	11	2	13	Affine Template / Affine Template
188	0.31	82.28	8	TERMINATING	14	2	16	Affine Template / Affine Template
189	2.79	54.82	8	TERMINATING	5	6	11	Affine Template / Affine Template
190	0.51	136.49	8	TERMINATING	6	2	8	Affine Template / Affine Template
191	0.54	101.55	8	TERMINATING	11	2	13	Affine Template / Affine Template
192	0.33	76.1	9	TERMINATING	14	2	16	Affine Template / Affine Template
193	2.14	58.41	8	TERMINATING	5	6	11	Affine Template / Affine Template
194	0.54	129.16	8	TERMINATING	6	2	8	Affine Template / Affine Template
195	0.39	95.27	7	TERMINATING	11	2	13	Affine Template / Affine Template
196	0.37	84.85	7	TERMINATING	14	2	16	Affine Template / Affine Template
197	2.04	116.92	11	TERMINATING	5	1	6	Affine Template / Affine Template
198	2.09	121.92	11	TERMINATING	5	1	6	Affine Template / Affine Template
199	2.18	124.33	13	TERMINATING	5	1	6	Affine Template / Affine Template
