lassos	nodes	cvc5	z3	Status
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_2Nested.bpl/lasso_trace_1.txt	63	9	5	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_3.t2.c/lasso_trace_1.txt	64	1	1	NONTERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_4NestedWith3Variables_true-termination.c/lasso_trace_1.txt	65	89	49	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_4NestedWith3Variables-1_termination.c/lasso_trace_1.txt	66	166	18	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_4NestedWith3Variables-1.c/lasso_trace_1.txt	67	166	19	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_4NestedWith3Variables-2_no-overflow.c/lasso_trace_1.txt	68	89	48	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_4NestedWith3Variables-2.c/lasso_trace_1.txt	69	88	33	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_6.t2.c/lasso_trace_1.txt	70	1	1	NONTERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_7.t2.c/lasso_trace_1.txt	71	2	1	NONTERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_a.01_false-no-overflow.c/lasso_trace_2.txt	72	11	4	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_a.01_false-no-overflow.c/lasso_trace_3.txt	73	8	5	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_a.01_no-overflow.c/lasso_trace_2.txt	74	5	3	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_a.01_no-overflow.c/lasso_trace_3.txt	75	6	4	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_a.01_true-termination.c/lasso_trace_2.txt	76	9	5	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_a.01_true-termination.c/lasso_trace_3.txt	77	10	6	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_a.01.c/lasso_trace_2.txt	78	7	4	TERMINATING
