nodes,Ultimate-fixpoint,Ultimate-all,pasttel,label,Stem Size,Loop Size,Total Size Trace,Algo,Total-NonTerminate
1089,"4,44","4,44",4,NONTERMINATING,5,18,23,Fixpoint / Fixpoint,"4,44"
1090,"4,08","4,08",3,NONTERMINATING,5,17,22,Fixpoint / Fixpoint,"4,08"
1091,"3,9","3,9",3,NONTERMINATING,5,7,12,Fixpoint / Fixpoint,"3,9"
1092,"1,96","65,22",1,NONTERMINATING,1,1,2,GNTA / GNTA,"67,18"
1093,"2,63","2,63",1,NONTERMINATING,1,1,2,Fixpoint / Fixpoint,"2,63"
1094,"1,9","84,17",1,NONTERMINATING,0,2,2,GNTA / GNTA,"86,07"
1095,"3,77","3,77",2,NONTERMINATING,1,2,3,Fixpoint / Fixpoint,"3,77"
1096,"3,12","3,12",2,NONTERMINATING,1,1,2,Fixpoint / Fixpoint,"3,12"
1097,"3,82","3,82",2,NONTERMINATING,1,1,2,Fixpoint / Fixpoint,"3,82"
1098,"3,51","3,51",3,NONTERMINATING,1,1,2,Fixpoint / Fixpoint,"3,51"
1099,"4,01","4,01",3,NONTERMINATING,1,1,2,Fixpoint / Fixpoint,"4,01"
1100,"3,26","3,26",2,NONTERMINATING,1,1,2,Fixpoint / Fixpoint,"3,26"
1101,"3,1","3,1",1,NONTERMINATING,1,1,2,Fixpoint / Fixpoint,"3,1"
1102,"3,06","3,06",1,NONTERMINATING,1,1,2,Fixpoint / Fixpoint,"3,06"
1103,"4,14","4,14",1,NONTERMINATING,1,1,2,Fixpoint / Fixpoint,"4,14"
1104,"0,59","71,82",3,NONTERMINATING,9,8,17,GNTA / GNTA,"72,41"
1105,"0,53","73,59",3,NONTERMINATING,9,8,17,GNTA / GNTA,"74,12"
1106,"0,43","55,86",3,NONTERMINATING,5,4,9,GNTA / GNTA,"56,29"
1107,"0,42","71,54",6,NONTERMINATING,9,8,17,GNTA / GNTA,"71,96"
1108,"0,5","70,53",4,NONTERMINATING,9,8,17,GNTA / GNTA,"71,03"
1109,"0,44","58,03",3,NONTERMINATING,5,4,9,GNTA / GNTA,"58,47"
1110,"2,23","70,69",3,NONTERMINATING,1,4,5,GNTA / GNTA,"72,92"
1111,"0,68","109,45",13,NONTERMINATING,2,7,9,GNTA / GNTA,"110,13"
1112,"0,89","68,75",3,NONTERMINATING,1,5,6,GNTA / GNTA,"69,64"
1113,"1,56","1,56",2,NONTERMINATING,4,2,6,Fixpoint / Fixpoint,"1,56"
1114,"3,63","3,63",1,NONTERMINATING,1,1,2,Fixpoint / Fixpoint,"3,63"
1115,"1,05","1,05",3,NONTERMINATING,49,11,60,Fixpoint / Fixpoint,"1,05"
1116,"3,25","3,25",3,NONTERMINATING,1,1,2,Fixpoint / Fixpoint,"3,25"
1117,"2,78","2,78",2,NONTERMINATING,4,8,12,Fixpoint / Fixpoint,"2,78"
1118,"2,97","2,97",2,NONTERMINATING,4,8,12,Fixpoint / Fixpoint,"2,97"
1119,"1,82","86,42",2,NONTERMINATING,5,1,6,GNTA / GNTA,"88,24"
1120,"1,71","75,67",2,NONTERMINATING,0,2,2,GNTA / GNTA,"77,38"
1121,"1,9","88,62",3,NONTERMINATING,5,1,6,GNTA / GNTA,"90,52"
1122,"4,95","4,95",3,NONTERMINATING,5,1,6,Fixpoint / Fixpoint,"4,95"
1123,"3,44","3,44",2,NONTERMINATING,5,1,6,Fixpoint / Fixpoint,"3,44"
1124,"2,08","2,08",1,NONTERMINATING,1,1,2,Fixpoint / Fixpoint,"2,08"
1125,2,2,2,NONTERMINATING,1,1,2,Fixpoint / Fixpoint,2
1126,"3,37","86,13",2,NONTERMINATING,0,2,2,GNTA / GNTA,"89,5"
1127,"2,09","49,57",2,NONTERMINATING,0,2,2,GNTA / GNTA,"51,66"
1128,"2,5","61,3",1,NONTERMINATING,0,2,2,GNTA / GNTA,"63,8"
1129,"3,22","65,5",1,NONTERMINATING,0,4,4,GNTA / GNTA,"68,72"
1130,"2,29","61,32",1,NONTERMINATING,0,2,2,GNTA / GNTA,"63,61"
1131,"1,61","165,65",2,NONTERMINATING,6,3,9,GNTA / GNTA,"167,26"
1132,"4,56","4,56",2,NONTERMINATING,5,4,9,Fixpoint / Fixpoint,"4,56"
1133,"3,75","3,75",2,NONTERMINATING,6,4,10,Fixpoint / Fixpoint,"3,75"
1134,"3,74","3,74",2,NONTERMINATING,6,4,10,Fixpoint / Fixpoint,"3,74"
1135,"2,87","2,87",3,NONTERMINATING,5,1,6,Fixpoint / Fixpoint,"2,87"
1136,"2,83","2,83",2,NONTERMINATING,5,1,6,Fixpoint / Fixpoint,"2,83"
1137,"2,92","2,92",2,NONTERMINATING,5,1,6,Fixpoint / Fixpoint,"2,92"
1138,"0,59","79,46",1,NONTERMINATING,2,1,3,GNTA / GNTA,"80,05"
1139,"2,87","2,87",1,NONTERMINATING,5,2,7,Fixpoint / Fixpoint,"2,87"
1140,"3,12","3,12",2,NONTERMINATING,5,1,6,Fixpoint / Fixpoint,"3,12"
1141,"3,26","3,26",3,NONTERMINATING,5,1,6,Fixpoint / Fixpoint,"3,26"
1142,"1,76","1,76",4,NONTERMINATING,9,9,18,Fixpoint / Fixpoint,"1,76"
1143,"2,13","2,13",3,NONTERMINATING,10,9,19,Fixpoint / Fixpoint,"2,13"
1144,"1,98","1,98",4,NONTERMINATING,10,9,19,Fixpoint / Fixpoint,"1,98"
1145,"3,71","3,71",3,NONTERMINATING,5,1,6,Fixpoint / Fixpoint,"3,71"
1146,"5,15","5,15",2,NONTERMINATING,1,1,2,Fixpoint / Fixpoint,"5,15"
1147,"3,51","60,26",3,NONTERMINATING,1,1,2,GNTA / GNTA,"63,77"
1148,"5,19","5,19",2,NONTERMINATING,1,1,2,Fixpoint / Fixpoint,"5,19"
1149,"4,12","93,64",3,NONTERMINATING,1,1,2,GNTA / GNTA,"97,76"
