lassos	nodes	Ultimate-all	pasttel	label	Algo
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_b.09.c/lasso_trace_1.txt	67	48.39	4	NONTERMINATING	GNTA / GNTA
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_Bakery.bpl/lasso_trace_3.txt	68	1	1	NONTERMINATING	Fixpoint / Fixpoint
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_Bangalore_false-termination.c/lasso_trace_1.txt	69	4.97	1	NONTERMINATING	Fixpoint / Fixpoint
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_Bangalore_v2_false-termination.c/lasso_trace_1.txt	70	13.82	2	NONTERMINATING	Fixpoint / Fixpoint
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_Bangalore_v2_no-overflow.c/lasso_trace_1.txt	71	3.19	1	NONTERMINATING	Fixpoint / Fixpoint
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_Bangalore_v2.c/lasso_trace_1.txt	72	3.12	1	NONTERMINATING	Fixpoint / Fixpoint
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_Bangalore_v3_false-termination.c/lasso_trace_1.txt	73	11.26	1	NONTERMINATING	Fixpoint / Fixpoint
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_Bangalore_v3_no-overflow.c/lasso_trace_1.txt	74	2.95	1	NONTERMINATING	Fixpoint / Fixpoint
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_Bangalore_v3.c/lasso_trace_1.txt	75	6.26	2	NONTERMINATING	Fixpoint / Fixpoint
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_Bangalore-1_no-overflow.c/lasso_trace_1.txt	76	3.27	1	NONTERMINATING	Fixpoint / Fixpoint
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_Bangalore-1.c/lasso_trace_1.txt	77	3.51	1	NONTERMINATING	Fixpoint / Fixpoint
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_Bangalore2.bpl/lasso_trace_1.txt	78	5.05	1	NONTERMINATING	Fixpoint / Fixpoint
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_Barcelona.bpl/lasso_trace_1.txt	79	3.31	1	NONTERMINATING	Fixpoint / Fixpoint
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_Binary_Search_true-termination.c/lasso_trace_2.txt	80	1.67	2	NONTERMINATING	Fixpoint / Fixpoint
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_Binary_Search-1_no-overflow.c/lasso_trace_1.txt	81	3.59	1	NONTERMINATING	Fixpoint / Fixpoint
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_Binary_Search-1.c/lasso_trace_1.txt	82	4.48	1	NONTERMINATING	Fixpoint / Fixpoint
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_Binary_Search-2_no-overflow.c/lasso_trace_2.txt	83	1.81	2	NONTERMINATING	Fixpoint / Fixpoint
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_Binary_Search-2.c/lasso_trace_2.txt	84	1.92	2	NONTERMINATING	Fixpoint / Fixpoint
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_boogieBoolConversionForWhileForCondex.c/lasso_trace_1.txt	85	3.54	1	NONTERMINATING	Fixpoint / Fixpoint
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_bpl.bpl/lasso_trace_1.txt	86	2.74	1	NONTERMINATING	Fixpoint / Fixpoint
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_BradleyMannaSipma-CAV2005-Fig1-modified_false-termination.c/lasso_trace_1.txt	87	5.36	1	NONTERMINATING	Fixpoint / Fixpoint
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_BradleyMannaSipma-CAV2005-Fig1-modified_no-overflow.c/lasso_trace_1.txt	88	2.89	1	NONTERMINATING	Fixpoint / Fixpoint
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_BradleyMannaSipma-CAV2005-Fig1-modified.c/lasso_trace_1.txt	89	5.95	1	NONTERMINATING	Fixpoint / Fixpoint
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_bs.t2.c/lasso_trace_1.txt	90	3.07	1	NONTERMINATING	Fixpoint / Fixpoint
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_bug-FalseStemFeasible.c/lasso_trace_3.txt	91	1.84	1	NONTERMINATING	Fixpoint / Fixpoint
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_bug-old-stmt-4.bpl/lasso_trace_1.txt	92	1.37	1	NONTERMINATING	Fixpoint / Fixpoint
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_bug06_IsEmptyHeuristic.c/lasso_trace_3.txt	93	1.55	1	NONTERMINATING	Fixpoint / Fixpoint
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_bug07_IsEmptyHeuristic.c/lasso_trace_1.txt	94	201.06	5	NONTERMINATING	GNTA / GNTA
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_bug08_IsEmptyHeuristic.c/lasso_trace_1.txt	95	175.56	2	NONTERMINATING	GNTA / GNTA
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_BugCNF01.bpl/lasso_trace_1.txt	96	3.13	1	NONTERMINATING	Fixpoint / Fixpoint
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_BugDoubleLoopEntry.bpl/lasso_trace_1.txt	97	2.76	1	NONTERMINATING	Fixpoint / Fixpoint
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_BugInterproceduralSequentialComposition_SouthTyrol-minimized.c/lasso_trace_1.txt	98	6.11	1	NONTERMINATING	Fixpoint / Fixpoint
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_BugInterproceduralSequentialComposition_SouthTyrol.bpl/lasso_trace_1.txt	99	2.84	1	NONTERMINATING	Fixpoint / Fixpoint
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_BugNestedSsaWithPendingContexts.bpl/lasso_trace_1.txt	100	68.95	2	NONTERMINATING	GNTA / GNTA
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_BugNoPredecessorOfReturnTransition.bpl/lasso_trace_1.txt	101	43.47	2	NONTERMINATING	GNTA / GNTA
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_BugPrenexNormalForm01.bpl/lasso_trace_1.txt	102	2.99	1	NONTERMINATING	Fixpoint / Fixpoint
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_BugSequentialCompositionOfCall.bpl/lasso_trace_1.txt	103	2.77	1	NONTERMINATING	Fixpoint / Fixpoint
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_BugTirQuantifierElimination01.bpl/lasso_trace_1.txt	104	4.32	1	NONTERMINATING	Fixpoint / Fixpoint
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_BugUnsolvableEquationSystem.bpl/lasso_trace_1.txt	105	2.8	1	NONTERMINATING	Fixpoint / Fixpoint
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_c.05.c/lasso_trace_1.txt	106	22.34	1	NONTERMINATING	Fixpoint / Fixpoint
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_c.10.c/lasso_trace_1.txt	107	6.03	1	NONTERMINATING	Fixpoint / Fixpoint
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_Cairo_nondet_false-termination.c/lasso_trace_1.txt	108	110.51	2	NONTERMINATING	GNTA / GNTA
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_Cairo_nondet_no-overflow.c/lasso_trace_1.txt	109	110.76	2	NONTERMINATING	GNTA / GNTA
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_Cairo_nondet.c/lasso_trace_1.txt	110	109.51	2	NONTERMINATING	GNTA / GNTA
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_Cairo_step2_false-termination.c/lasso_trace_1.txt	111	108.16	2	NONTERMINATING	GNTA / GNTA
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_Cairo_step2-2_no-overflow.c/lasso_trace_1.txt	112	82.76	2	NONTERMINATING	GNTA / GNTA
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_Cairo_step2-2.c/lasso_trace_1.txt	113	97.06	2	NONTERMINATING	GNTA / GNTA
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_Cairo2.bpl/lasso_trace_1.txt	114	31	2	NONTERMINATING	GNTA / GNTA
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_CallNTimes_incorrect.bpl/lasso_trace_1.txt	115	78.63	3	NONTERMINATING	GNTA / GNTA
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_CallNTimes.bpl/lasso_trace_1.txt	116	77.85	3	NONTERMINATING	GNTA / GNTA
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_calloc04.c/lasso_trace_1.txt	117	3.11	1	NONTERMINATING	Fixpoint / Fixpoint
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_cav2.c/lasso_trace_1.txt	118	94.12	3	NONTERMINATING	GNTA / GNTA
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_cfg.t2.c/lasso_trace_1.txt	119	116.09	2	NONTERMINATING	GNTA / GNTA
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_chaining1.c/lasso_trace_1.txt	120	77.45	3	NONTERMINATING	GNTA / GNTA
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_ChenCookFuhsNimkarOHearn-TACAS2014-Introduction_false-termination.c/lasso_trace_1.txt	121	2.65	1	NONTERMINATING	Fixpoint / Fixpoint
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_ChenCookFuhsNimkarOHearn-TACAS2014-Introduction_no-overflow.c/lasso_trace_1.txt	122	2.8	1	NONTERMINATING	Fixpoint / Fixpoint
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_ChenCookFuhsNimkarOHearn-TACAS2014-Introduction.c/lasso_trace_1.txt	123	2.55	1	NONTERMINATING	Fixpoint / Fixpoint
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_ChenFlurMukhopadhyay-SAS2012-Ex2.03_false-termination.c/lasso_trace_1.txt	124	3.01	1	NONTERMINATING	Fixpoint / Fixpoint
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_ChenFlurMukhopadhyay-SAS2012-Ex2.03_no-overflow.c/lasso_trace_1.txt	125	5.17	1	NONTERMINATING	Fixpoint / Fixpoint
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_ChenFlurMukhopadhyay-SAS2012-Ex2.03.c/lasso_trace_1.txt	126	3.32	1	NONTERMINATING	Fixpoint / Fixpoint
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_ChenFlurMukhopadhyay-SAS2012-Ex2.04_false-termination.c/lasso_trace_1.txt	127	4.12	1	NONTERMINATING	Fixpoint / Fixpoint
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_ChenFlurMukhopadhyay-SAS2012-Ex2.04_no-overflow.c/lasso_trace_1.txt	128	3.69	1	NONTERMINATING	Fixpoint / Fixpoint
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_ChenFlurMukhopadhyay-SAS2012-Ex2.04.c/lasso_trace_1.txt	129	3.38	1	NONTERMINATING	Fixpoint / Fixpoint
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_ChenFlurMukhopadhyay-SAS2012-Ex2.05_false-termination.c/lasso_trace_1.txt	130	3.3	1	NONTERMINATING	Fixpoint / Fixpoint
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_ChenFlurMukhopadhyay-SAS2012-Ex2.05_no-overflow.c/lasso_trace_1.txt	131	3.04	1	NONTERMINATING	Fixpoint / Fixpoint
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_ChenFlurMukhopadhyay-SAS2012-Ex2.05.c/lasso_trace_1.txt	132	3.25	1	NONTERMINATING	Fixpoint / Fixpoint
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_ChenFlurMukhopadhyay-SAS2012-Ex2.12_false-termination.c/lasso_trace_1.txt	133	3.11	1	NONTERMINATING	Fixpoint / Fixpoint
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_ChenFlurMukhopadhyay-SAS2012-Ex2.12_no-overflow.c/lasso_trace_1.txt	134	3.23	1	NONTERMINATING	Fixpoint / Fixpoint
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_ChenFlurMukhopadhyay-SAS2012-Ex2.12.c/lasso_trace_1.txt	135	3.24	1	NONTERMINATING	Fixpoint / Fixpoint
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_ChenFlurMukhopadhyay-SAS2012-Ex2.14_false-termination.c/lasso_trace_1.txt	136	2.93	1	NONTERMINATING	Fixpoint / Fixpoint
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_ChenFlurMukhopadhyay-SAS2012-Ex2.14_no-overflow.c/lasso_trace_1.txt	137	3.44	1	NONTERMINATING	Fixpoint / Fixpoint
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_ChenFlurMukhopadhyay-SAS2012-Ex2.14.c/lasso_trace_1.txt	138	2.98	1	NONTERMINATING	Fixpoint / Fixpoint
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_ChenFlurMukhopadhyay-SAS2012-Ex2.15_false-termination.c/lasso_trace_1.txt	139	3.35	2	NONTERMINATING	Fixpoint / Fixpoint
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_ChenFlurMukhopadhyay-SAS2012-Ex2.15_no-overflow.c/lasso_trace_1.txt	140	3.66	1	NONTERMINATING	Fixpoint / Fixpoint
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_ChenFlurMukhopadhyay-SAS2012-Ex2.15.c/lasso_trace_1.txt	141	3.15	1	NONTERMINATING	Fixpoint / Fixpoint
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_ChenFlurMukhopadhyay-SAS2012-Ex2.17_false-termination.c/lasso_trace_1.txt	142	108.7	3	NONTERMINATING	GNTA / GNTA
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_ChenFlurMukhopadhyay-SAS2012-Ex2.17_no-overflow.c/lasso_trace_1.txt	143	109.69	3	NONTERMINATING	GNTA / GNTA
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_ChenFlurMukhopadhyay-SAS2012-Ex2.17.c/lasso_trace_1.txt	144	103.87	3	NONTERMINATING	GNTA / GNTA
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_ChenFlurMukhopadhyay-SAS2012-Ex3.02_false-termination.c/lasso_trace_1.txt	145	3.2	1	NONTERMINATING	Fixpoint / Fixpoint
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_ChenFlurMukhopadhyay-SAS2012-Ex3.02_no-overflow.c/lasso_trace_1.txt	146	3.5	1	NONTERMINATING	Fixpoint / Fixpoint
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_ChenFlurMukhopadhyay-SAS2012-Ex3.02.c/lasso_trace_1.txt	147	3.02	1	NONTERMINATING	Fixpoint / Fixpoint
