lassos	nodes	Ultimate-all	pasttel	label	Algo
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_Nested-2.c/lasso_trace_2.txt	1653	84.05	5	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_Nested.bpl/lasso_trace_10.txt	1654	108.42	5	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_Nested.bpl/lasso_trace_11.txt	1655	101.95	6	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_Nested.bpl/lasso_trace_12.txt	1656	104.22	6	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_nested.c_4.bpl/lasso_trace_1.txt	1657	206.36	8	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_Nested.c/lasso_trace_2.txt	1658	82.42	5	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_nested.i_4.bpl/lasso_trace_2.txt	1659	271.74	9	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_nested.i_4.bplTransformedIcfg_BEv2_3.bpl/lasso_trace_2.txt	1660	269.47	9	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_nested.t2.c/lasso_trace_2.txt	1661	199.58	6	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_nested.t2.c/lasso_trace_3.txt	1662	247.56	12	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_nested1.i_4.bplTransformedIcfg_BEv2_12.bpl/lasso_trace_11.txt	1663	122.69	6	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_nested1.i_4.bplTransformedIcfg_BEv2_12.bpl/lasso_trace_12.txt	1664	134.47	5	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_nested1.i_4.bplTransformedIcfg_BEv2_12.bpl/lasso_trace_13.txt	1665	104.53	6	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_nested9.i_3.bpl/lasso_trace_1.txt	1666	311.23	5	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_nested9.i_3.bplTransformedIcfg_BEv2_4.bpl/lasso_trace_1.txt	1667	206.66	5	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_nestedLoop.bpl/lasso_trace_2.txt	1668	79.93	5	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_nestedLoopSafe.bpl/lasso_trace_2.txt	1669	82.38	6	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_nestedLoopUnsafe.bpl/lasso_trace_11.txt	1670	105.83	5	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_nestedLoopUnsafe.bpl/lasso_trace_12.txt	1671	81.99	5	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_nestedLoopUnsafe.bpl/lasso_trace_13.txt	1672	78.8	6	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_nestedLoopWithAssertion.bpl/lasso_trace_2.txt	1673	97.13	5	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_NestedRecursion_1b_no-overflow.c/lasso_trace_1.txt	1674	182.16	5	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_NestedRecursion_1b_no-overflow.c/lasso_trace_2.txt	1675	220.43	5	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_NestedRecursion_1b_no-overflow.c/lasso_trace_7.txt	1676	106.8	6	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_NestedRecursion_1b_true-termination.c/lasso_trace_1.txt	1677	164.66	5	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_NestedRecursion_1b_true-termination.c/lasso_trace_2.txt	1678	213.27	5	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_NestedRecursion_1b_true-termination.c/lasso_trace_7.txt	1679	102.16	8	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_NestedRecursion_1b.c/lasso_trace_1.txt	1680	165.35	5	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_NestedRecursion_1b.c/lasso_trace_2.txt	1681	212.32	5	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_NestedRecursion_1b.c/lasso_trace_7.txt	1682	104.03	6	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_NestedRecursion_1c_no-overflow.c/lasso_trace_1.txt	1683	211.74	5	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_NestedRecursion_1c_true-termination.c/lasso_trace_1.txt	1684	198.77	5	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_NestedRecursion_1c.c/lasso_trace_1.txt	1685	211.09	5	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_NestedRecursion_1d_no-overflow.c/lasso_trace_2.txt	1686	139.47	5	TERMINATING	Affine Template / Affine Template
