nodes	Ultimate-fixpoint	Ultimate-all	pasttel	label	Stem Size	Loop Size	Total Size Trace	Algo
141	1.95	145.51	18.00	TERMINATING	526	13	539	Affine template / Affine template
142	1.93	142.08	17.00	TERMINATING	526	13	539	Affine template / Affine template
143	1.86	125.24	17.00	TERMINATING	505	13	518	Affine template / Affine template
144	1.91	150.23	21.00	TERMINATING	587	21	608	Affine template / Affine template
145	1.97	65.26	14.00	TERMINATING	7	4	11	Affine template / Affine template
146	0.60	59.87	16.00	TERMINATING	8	4	12	Affine template / Affine template
147	0.50	59.60	20.00	TERMINATING	12	4	16	Affine template / Affine template
148	1.90	78.87	19.00	TERMINATING	7	6	13	Affine template / Affine template
149	0.67	56.72	17.00	TERMINATING	8	4	12	Affine template / Affine template
150	0.63	58.73	25.00	TERMINATING	10	4	14	Affine template / Affine template
151	0.53	55.13	33.00	TERMINATING	14	4	18	Affine template / Nested template
152	0.62	64.07	25.00	TERMINATING	16	4	20	Affine template / Affine template
153	0.58	75.40	23.00	TERMINATING	22	4	26	Affine template / Affine template
154	1.88	68.70	18.00	TERMINATING	7	6	13	Affine template / Affine template
155	0.81	70.57	21.00	TERMINATING	11	5	16	Affine template / Affine template
156	0.68	63.53	27.00	TERMINATING	17	5	22	Affine template / Affine template
157	0.64	61.65	24.00	TERMINATING	18	5	23	Affine template / Affine template
158	2.02	88.94	9.00	TERMINATING	9	1	10	Affine template / Affine template
159	1.57	48.81	5.00	TERMINATING	24	13	37	Affine template / Affine template
160	1.69	46.87	5.00	TERMINATING	28	13	41	Affine template / Affine template
161	2.00	50.31	6.00	TERMINATING	16	25	41	Affine template / Affine template
162	1.66	49.03	5.00	TERMINATING	20	13	33	Affine template / Affine template
163	2.82	44.13	5.00	TERMINATING	16	13	29	Affine template / Affine template
164	2.16	57.64	10.00	TERMINATING	5	2	7	Affine template / Affine template
165	2.00	60.00	11.00	TERMINATING	5	4	9	Affine template / Affine template
166	1.72	56.40	8.00	TERMINATING	44	13	57	Affine template / Affine template
