nodes	Ultimate-fixpoint	Ultimate-all	pasttel	label	Stem Size	Loop Size	Total Size Trace	Algo
113	2.14	2.14	2.00	NONTERMINATING	11	6	17	Fixpoint / Fixpoint
114	2.21	2.21	3.00	NONTERMINATING	10	5	15	Fixpoint / Fixpoint
115	2.85	2.85	3.00	NONTERMINATING	10	5	15	Fixpoint / Fixpoint
116	2.25	2.25	3.00	NONTERMINATING	10	5	15	Fixpoint / Fixpoint
117	2.01	2.01	2.00	NONTERMINATING	11	6	17	Fixpoint / Fixpoint
118	2.26	2.26	3.00	NONTERMINATING	10	5	15	Fixpoint / Fixpoint
119	2.20	2.20	2.00	NONTERMINATING	11	6	17	Fixpoint / GNTA
120	2.29	2.29	3.00	NONTERMINATING	10	5	15	Fixpoint / Fixpoint
121	2.17	2.17	2.00	NONTERMINATING	11	6	17	Fixpoint / Fixpoint
122	2.31	2.31	3.00	NONTERMINATING	10	5	15	Fixpoint / Fixpoint
123	0.41	36.44	2.00	NONTERMINATING	6	1	7	GNTA / GNTA
124	2.70	2.70	1.00	NONTERMINATING	40	12	52	Fixpoint / Fixpoint
125	1.53	1.53	0.00	NONTERMINATING	4	1	5	Fixpoint / Fixpoint
126	4.87	4.87	3.00	NONTERMINATING	364	98	462	Fixpoint / Fixpoint
127	2.61	2.61	1.00	NONTERMINATING	16	22	38	Fixpoint / Fixpoint
128	2.99	2.99	1.00	NONTERMINATING	32	43	75	Fixpoint / Fixpoint
129	2.72	2.72	3.00	NONTERMINATING	482	99	581	Fixpoint / Fixpoint
130	2.88	2.88	1.00	NONTERMINATING	8	3	11	Fixpoint / Fixpoint
131	3.09	3.09	1.00	NONTERMINATING	5	1	6	Fixpoint / Fixpoint
132	2.81	2.81	1.00	NONTERMINATING	5	2	7	Fixpoint / Fixpoint
133	1.57	1.57	2.00	NONTERMINATING	146	8	154	Fixpoint / Fixpoint
134	3.05	3.05	1.00	NONTERMINATING	28	22	50	Fixpoint / Fixpoint
135	1.80	38.05	1.00	NONTERMINATING	20	10	30	GNTA / GNTA
136	2.19	2.19	2.00	NONTERMINATING	324	26	350	Fixpoint / Fixpoint
137	2.76	2.76	1.00	NONTERMINATING	45	8	53	Fixpoint / Fixpoint
138	2.92	2.92	1.00	NONTERMINATING	36	30	66	Fixpoint / Fixpoint
139	1.71	105.81	4.00	NONTERMINATING	308	32	340	GNTA / GNTA
140	1.07	1.07	1.00	NONTERMINATING	102	8	110	Fixpoint / Fixpoint
