Trace Name,Result Code,Ultimate-Fixpoint (ms),Ultimate (ms),pasttel (ms),PaSTTeL Status,Stem Size,Loop Size,Total Size Trace,Algo
CP26_BENCHMARK_FINAL/BENCHMARK_SIMPLE_C_BPL/TERM_LASSO//lasso_traces_a.01.c/lasso_trace_2.txt,TERMINATING,1.73,57.45,5.00,TERMINATING,1,3,4,Affine template / Affine template
CP26_BENCHMARK_FINAL/BENCHMARK_SIMPLE_C_BPL/TERM_LASSO//lasso_traces_a.01.c/lasso_trace_3.txt,TERMINATING,0.86,37.74,6.00,TERMINATING,2,1,3,Affine template / Affine template
CP26_BENCHMARK_FINAL/BENCHMARK_SIMPLE_C_BPL/TERM_LASSO//lasso_traces_a.01_true-termination.c/lasso_trace_2.txt,TERMINATING,1.88,56.36,8.00,TERMINATING,7,3,10,Affine template / Affine template
CP26_BENCHMARK_FINAL/BENCHMARK_SIMPLE_C_BPL/TERM_LASSO//lasso_traces_a.01_true-termination.c/lasso_trace_3.txt,TERMINATING,0.46,34.46,8.00,TERMINATING,8,1,9,Affine template / Affine template
CP26_BENCHMARK_FINAL/BENCHMARK_SIMPLE_C_BPL/TERM_LASSO//lasso_traces_a.03.c/lasso_trace_1.txt,TERMINATING,2.41,80.92,12.00,TERMINATING,1,2,3,Affine template / Affine template
CP26_BENCHMARK_FINAL/BENCHMARK_SIMPLE_C_BPL/TERM_LASSO//lasso_traces_a.03.c/lasso_trace_2.txt,TERMINATING,0.66,540.39,75.00,TERMINATING,2,3,5,Affine template / Affine template
CP26_BENCHMARK_FINAL/BENCHMARK_SIMPLE_C_BPL/TERM_LASSO//lasso_traces_a.03-no-inv.c/lasso_trace_1.txt,TERMINATING,3.85,92.48,13.00,TERMINATING,1,2,3,Affine template / Affine template
CP26_BENCHMARK_FINAL/BENCHMARK_SIMPLE_C_BPL/TERM_LASSO//lasso_traces_a.03-no-inv.c/lasso_trace_2.txt,TERMINATING,0.67,553.27,73.00,TERMINATING,2,3,5,Affine template / Affine template
CP26_BENCHMARK_FINAL/BENCHMARK_SIMPLE_C_BPL/TERM_LASSO//lasso_traces_a.03.real.c/lasso_trace_1.txt,TERMINATING,3.52,66.43,12.00,TERMINATING,1,3,4,Affine template / Affine template
CP26_BENCHMARK_FINAL/BENCHMARK_SIMPLE_C_BPL/TERM_LASSO//lasso_traces_a.03.real.c/lasso_trace_2.txt,TERMINATING,1.04,505.72,85.00,TERMINATING,2,4,6,Affine template / Affine template
CP26_BENCHMARK_FINAL/BENCHMARK_SIMPLE_C_BPL/TERM_LASSO//lasso_traces_a.03.real-no-inv.c/lasso_trace_1.txt,TERMINATING,2.74,67.53,17.00,TERMINATING,1,3,4,Affine template / Affine template
CP26_BENCHMARK_FINAL/BENCHMARK_SIMPLE_C_BPL/TERM_LASSO//lasso_traces_a.03.real-no-inv.c/lasso_trace_2.txt,TERMINATING,0.63,487.22,87.00,TERMINATING,2,4,6,Affine template / Affine template
CP26_BENCHMARK_FINAL/BENCHMARK_SIMPLE_C_BPL/TERM_LASSO//lasso_traces_a.04-alloca_true-termination.c/lasso_trace_1.txt,TERMINATING,2.82,186.64,47.00,TERMINATING,10,7,17,Affine template / Affine template
CP26_BENCHMARK_FINAL/BENCHMARK_SIMPLE_C_BPL/TERM_LASSO//lasso_traces_a.04.c/lasso_trace_1.txt,TERMINATING,2.01,51.65,7.00,TERMINATING,1,1,2,Affine template / Affine template
CP26_BENCHMARK_FINAL/BENCHMARK_SIMPLE_C_BPL/TERM_LASSO//lasso_traces_a.04_true-termination.c/lasso_trace_1.txt,TERMINATING,2.16,74.37,7.00,TERMINATING,7,1,8,Affine template / Affine template
CP26_BENCHMARK_FINAL/BENCHMARK_SIMPLE_C_BPL/TERM_LASSO//lasso_traces_a.05-alloca_true-termination.c/lasso_trace_1.txt,TERMINATING,2.65,177.25,45.00,TERMINATING,10,7,17,Affine template / Affine template
CP26_BENCHMARK_FINAL/BENCHMARK_SIMPLE_C_BPL/TERM_LASSO//lasso_traces_a.05.c/lasso_trace_1.txt,TERMINATING,2.08,47.82,5.00,TERMINATING,1,1,2,Affine template / Affine template
CP26_BENCHMARK_FINAL/BENCHMARK_SIMPLE_C_BPL/TERM_LASSO//lasso_traces_a.05_true-termination.c/lasso_trace_1.txt,TERMINATING,1.98,56.62,7.00,TERMINATING,7,1,8,Affine template / Affine template
CP26_BENCHMARK_FINAL/BENCHMARK_SIMPLE_C_BPL/TERM_LASSO//lasso_traces_a.06-alloca_true-termination.c/lasso_trace_1.txt,TERMINATING,3.02,141.93,62.00,TERMINATING,11,10,21,Affine template / Affine template
CP26_BENCHMARK_FINAL/BENCHMARK_SIMPLE_C_BPL/TERM_LASSO//lasso_traces_a.06.c/lasso_trace_1.txt,TERMINATING,2.08,71.55,9.00,TERMINATING,1,1,2,Affine template / Affine template
CP26_BENCHMARK_FINAL/BENCHMARK_SIMPLE_C_BPL/TERM_LASSO//lasso_traces_a.06_true-termination.c/lasso_trace_1.txt,TERMINATING,2.16,71.16,12.00,TERMINATING,7,1,8,Affine template / Affine template
CP26_BENCHMARK_FINAL/BENCHMARK_SIMPLE_C_BPL/TERM_LASSO//lasso_traces_a.07-alloca_true-termination.c/lasso_trace_2.txt,TERMINATING,2.67,224.32,63.00,TERMINATING,11,12,23,Affine template / Affine template
CP26_BENCHMARK_FINAL/BENCHMARK_SIMPLE_C_BPL/TERM_LASSO//lasso_traces_a.07.c/lasso_trace_1.txt,TERMINATING,2.18,64.54,9.00,TERMINATING,1,1,2,Affine template / Affine template
CP26_BENCHMARK_FINAL/BENCHMARK_SIMPLE_C_BPL/TERM_LASSO//lasso_traces_a.07_true-termination.c/lasso_trace_1.txt,TERMINATING,2.05,65.98,10.00,TERMINATING,7,1,8,Affine template / Affine template
CP26_BENCHMARK_FINAL/BENCHMARK_SIMPLE_C_BPL/TERM_LASSO//lasso_traces_a.08-alloca_true-termination.c/lasso_trace_1.txt,TERMINATING,2.66,124.14,43.00,TERMINATING,10,9,19,Affine template / Affine template
CP26_BENCHMARK_FINAL/BENCHMARK_SIMPLE_C_BPL/TERM_LASSO//lasso_traces_a.08.c/lasso_trace_1.txt,TERMINATING,2.28,69.27,8.00,TERMINATING,1,1,2,Affine template / Affine template
CP26_BENCHMARK_FINAL/BENCHMARK_SIMPLE_C_BPL/TERM_LASSO//lasso_traces_a.08_true-termination.c/lasso_trace_1.txt,TERMINATING,2.06,59.13,10.00,TERMINATING,7,1,8,Affine template / Affine template
CP26_BENCHMARK_FINAL/BENCHMARK_SIMPLE_C_BPL/TERM_LASSO//lasso_traces_a.09_assume-alloca_true-termination.c/lasso_trace_1.txt,TERMINATING,2.37,201.78,48.00,TERMINATING,12,8,20,Affine template / Affine template
CP26_BENCHMARK_FINAL/BENCHMARK_SIMPLE_C_BPL/TERM_LASSO//lasso_traces_a.09_assume_true-termination.c/lasso_trace_1.txt,TERMINATING,1.66,55.93,8.00,TERMINATING,8,2,10,Affine template / Affine template
CP26_BENCHMARK_FINAL/BENCHMARK_SIMPLE_C_BPL/TERM_LASSO//lasso_traces_a.10-alloca_true-termination.c/lasso_trace_1.txt,TERMINATING,2.55,130.19,41.00,TERMINATING,10,10,20,Affine template / Affine template
CP26_BENCHMARK_FINAL/BENCHMARK_SIMPLE_C_BPL/TERM_LASSO//lasso_traces_a.10-alloca_true-termination.c/lasso_trace_2.txt,TERMINATING,1.43,90.30,41.00,TERMINATING,16,10,26,Affine template / Affine template
CP26_BENCHMARK_FINAL/BENCHMARK_SIMPLE_C_BPL/TERM_LASSO//lasso_traces_a.10.c.t2.c/lasso_trace_10.txt,TERMINATING,0.41,114.44,32.00,TERMINATING,109,22,131,Affine template / Affine template
CP26_BENCHMARK_FINAL/BENCHMARK_SIMPLE_C_BPL/TERM_LASSO//lasso_traces_a.10.c.t2.c/lasso_trace_2.txt,TERMINATING,1.73,62.13,12.00,TERMINATING,68,22,90,Affine template / Affine template
CP26_BENCHMARK_FINAL/BENCHMARK_SIMPLE_C_BPL/TERM_LASSO//lasso_traces_a.10.c.t2.c/lasso_trace_3.txt,TERMINATING,0.33,49.54,19.00,TERMINATING,72,22,94,Affine template / Affine template
CP26_BENCHMARK_FINAL/BENCHMARK_SIMPLE_C_BPL/TERM_LASSO//lasso_traces_a.10.c.t2.c/lasso_trace_4.txt,TERMINATING,0.31,52.34,12.00,TERMINATING,72,22,94,Affine template / Affine template
CP26_BENCHMARK_FINAL/BENCHMARK_SIMPLE_C_BPL/TERM_LASSO//lasso_traces_a.10.c.t2.c/lasso_trace_5.txt,TERMINATING,0.38,54.05,12.00,TERMINATING,80,22,102,Affine template / Affine template
CP26_BENCHMARK_FINAL/BENCHMARK_SIMPLE_C_BPL/TERM_LASSO//lasso_traces_a.10.c.t2.c/lasso_trace_7.txt,TERMINATING,0.31,50.15,13.00,TERMINATING,84,22,106,Affine template / Affine template
CP26_BENCHMARK_FINAL/BENCHMARK_SIMPLE_C_BPL/TERM_LASSO//lasso_traces_a.10.c.t2.c/lasso_trace_8.txt,TERMINATING,0.41,104.93,39.00,TERMINATING,92,22,114,Affine template / Affine template
CP26_BENCHMARK_FINAL/BENCHMARK_SIMPLE_C_BPL/TERM_LASSO//lasso_traces_a.11.c/lasso_trace_1.txt,TERMINATING,2.11,2543.80,27.00,TERMINATING,1,1,2,2 template / Affine template
CP26_BENCHMARK_FINAL/BENCHMARK_SIMPLE_C_BPL/TERM_LASSO//lasso_traces_aaron2_true-termination.c/lasso_trace_1.txt,TERMINATING,1.85,164.02,17.00,TERMINATING,5,1,6,Affine template / Affine template
CP26_BENCHMARK_FINAL/BENCHMARK_SIMPLE_C_BPL/TERM_LASSO//lasso_traces_aaron3_true-termination.c/lasso_trace_1.txt,TERMINATING,2.12,1658.57,47.00,TERMINATING,5,1,6,2 template / Nested template
CP26_BENCHMARK_FINAL/BENCHMARK_SIMPLE_C_BPL/TERM_LASSO//lasso_traces_Ackermann01_true-termination.c/lasso_trace_1.txt,TERMINATING,2.02,116.30,13.00,TERMINATING,8,4,12,Affine template / Affine template
CP26_BENCHMARK_FINAL/BENCHMARK_SIMPLE_C_BPL/TERM_LASSO//lasso_traces_Ackermann01_true-termination.c/lasso_trace_13.txt,TERMINATING,0.27,170.08,24.00,TERMINATING,53,4,57,Affine template / Affine template
CP26_BENCHMARK_FINAL/BENCHMARK_SIMPLE_C_BPL/TERM_LASSO//lasso_traces_Ackermann01_true-termination.c/lasso_trace_2.txt,TERMINATING,0.52,219.07,40.00,TERMINATING,11,4,15,Affine template / Affine template
CP26_BENCHMARK_FINAL/BENCHMARK_SIMPLE_C_BPL/TERM_LASSO//lasso_traces_Ackermann01_true-termination.c/lasso_trace_4.txt,TERMINATING,0.30,63.32,16.00,TERMINATING,15,8,23,Affine template / Affine template
CP26_BENCHMARK_FINAL/BENCHMARK_SIMPLE_C_BPL/TERM_LASSO//lasso_traces_Ackermann01_true-termination.c/lasso_trace_6.txt,TERMINATING,0.36,190.04,35.00,TERMINATING,18,4,22,Affine template / Affine template
CP26_BENCHMARK_FINAL/BENCHMARK_SIMPLE_C_BPL/TERM_LASSO//lasso_traces_Ackermann_true-termination.c/lasso_trace_1.txt,TERMINATING,1.83,250.12,23.00,TERMINATING,7,4,11,Affine template / Affine template
CP26_BENCHMARK_FINAL/BENCHMARK_SIMPLE_C_BPL/TERM_LASSO//lasso_traces_Ackermann_true-termination.c/lasso_trace_3.txt,TERMINATING,0.30,70.42,14.00,TERMINATING,11,8,19,Affine template / Affine template
CP26_BENCHMARK_FINAL/BENCHMARK_SIMPLE_C_BPL/TERM_LASSO//lasso_traces_Ackermann_true-termination.c/lasso_trace_4.txt,TERMINATING,0.85,209.58,33.00,TERMINATING,13,4,17,Affine template / Affine template
CP26_BENCHMARK_FINAL/BENCHMARK_SIMPLE_C_BPL/TERM_LASSO//lasso_traces_Acsl01-EnsuresLocal-Safe.c/lasso_trace_1.txt,TERMINATING,1.88,60.70,7.00,TERMINATING,7,1,8,Affine template / Affine template
CP26_BENCHMARK_FINAL/BENCHMARK_SIMPLE_C_BPL/TERM_LASSO//lasso_traces_Acsl02-EnsuresLocal-Unsafe.c/lasso_trace_1.txt,TERMINATING,1.96,58.53,10.00,TERMINATING,7,1,8,Affine template / Affine template
CP26_BENCHMARK_FINAL/BENCHMARK_SIMPLE_C_BPL/TERM_LASSO//lasso_traces_Acsl03-EnsuresGlobal-Safe.c/lasso_trace_1.txt,TERMINATING,2.08,50.71,6.00,TERMINATING,7,1,8,Affine template / Affine template
CP26_BENCHMARK_FINAL/BENCHMARK_SIMPLE_C_BPL/TERM_LASSO//lasso_traces_Acsl04-EnsuresGlobal-Unsafe.c/lasso_trace_1.txt,TERMINATING,2.09,52.95,5.00,TERMINATING,7,1,8,Affine template / Affine template
CP26_BENCHMARK_FINAL/BENCHMARK_SIMPLE_C_BPL/TERM_LASSO//lasso_traces_ACSL-InvariantAndContinue.c/lasso_trace_1.txt,TERMINATING,1.81,43.30,5.00,TERMINATING,5,2,7,Affine template / Affine template
CP26_BENCHMARK_FINAL/BENCHMARK_SIMPLE_C_BPL/TERM_LASSO//lasso_traces_AcslLoopInvariant.c/lasso_trace_1.txt,TERMINATING,1.93,51.60,7.00,TERMINATING,5,2,7,Affine template / Affine template
